time(s),energy(eV),exchange_energy(eV),dm_energy(eV),field_energy(eV),anisotropy_energy(eV),cubic_anisotropy_energy(eV),charge_finite,charge_lattice,avg_mx,avg_my,avg_mz,eletric_x,eletric_y,eletric_z,magnetic_lattice_x,magnetic_lattice_y,magnetic_lattice_z,magnetic_derivative_x,magnetic_derivative_y,magnetic_derivative_z
2.050000000000009e-11,-1.075094431815589e-18,-2.414466753741059e-18,3.640454246833859e-19,-4.988376728675185e-20,0.000000000000000e+00,0.000000000000000e+00,-1.930650309459592e+01,-2.200000000000002e+01,1.250739744431825e-02,-1.788096814008135e-02,4.222954456767472e-01,-2.904251061249812e-17,-4.720814168220950e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404734e-14,0.000000000000000e+00,0.000000000000000e+00,-1.270777117598638e-14
2.100000000000018e-11,-1.076296544113004e-18,-2.415753146511439e-18,3.631415342882386e-19,-4.999073800140843e-20,0.000000000000000e+00,0.000000000000000e+00,-1.932512531769797e+01,-2.199999999999994e+01,1.189143135754741e-02,-1.838258560249222e-02,4.232010157264268e-01,-2.868092176215107e-17,-4.748314580819408e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404737e-14,0.000000000000000e+00,0.000000000000000e+00,-1.272002854588968e-14
2.150000000000027e-11,-1.077539250899192e-18,-2.417071610187229e-18,3.621802455409645e-19,-5.009356857606094e-20,0.000000000000000e+00,0.000000000000000e+00,-1.934304952363478e+01,-2.200000000000008e+01,1.140660777279037e-02,-1.889674238718703e-02,4.240715370545885e-01,-2.836900284825560e-17,-4.782415465505534e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404736e-14,0.000000000000000e+00,0.000000000000000e+00,-1.273182647254888e-14
2.200000000000036e-11,-1.078829221193279e-18,-2.418422703890947e-18,3.611574706706599e-19,-5.019660458313375e-20,0.000000000000000e+00,0.000000000000000e+00,-1.935965548918254e+01,-2.200000000000006e+01,1.105354931104538e-02,-1.938362555782108e-02,4.249437974890788e-01,-2.809695658735753e-17,-4.819002601093463e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404737e-14,0.000000000000000e+00,0.000000000000000e+00,-1.274275671762248e-14
2.250000000000045e-11,-1.080166886533567e-18,-2.419800955609124e-18,3.600752266546354e-19,-5.030402205632163e-20,0.000000000000000e+00,0.000000000000000e+00,-1.937458057481309e+01,-2.199999999999996e+01,1.082598914413029e-02,-1.980529321412031e-02,4.258531496126389e-01,-2.785119594666614e-17,-4.854001617099939e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404737e-14,0.000000000000000e+00,0.000000000000000e+00,-1.275258058743696e-14
2.300000000000054e-11,-1.081548083481114e-18,-2.421197076197337e-18,3.589398706437284e-19,-5.041948070430296e-20,0.000000000000000e+00,0.000000000000000e+00,-1.938777462451000e+01,-2.199999999999998e+01,1.071306292576481e-02,-2.012788624809720e-02,4.268305750128949e-01,-2.761988851174526e-17,-4.883709695264885e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404735e-14,0.000000000000000e+00,0.000000000000000e+00,-1.276126506870278e-14
2.350000000000063e-11,-1.082964771075687e-18,-2.422599273957112e-18,3.577612382565269e-19,-5.054575322539323e-20,0.000000000000000e+00,0.000000000000000e+00,-1.939941663346105e+01,-2.200000000000001e+01,1.070106748824698e-02,-2.032350923247001e-02,4.278995462127637e-01,-2.739444033676301e-17,-4.904978835883968e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404738e-14,0.000000000000000e+00,0.000000000000000e+00,-1.276892797819261e-14
2.400000000000072e-11,-1.084405576142986e-18,-2.423994280226580e-18,3.565519585348864e-19,-5.068441529714051e-20,0.000000000000000e+00,0.000000000000000e+00,-1.940982655097492e+01,-2.200000000000004e+01,1.077434595024010e-02,-2.037167892457733e-02,4.290734022499481e-01,-2.717152175680381e-17,-4.915461592983870e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404734e-14,0.000000000000000e+00,0.000000000000000e+00,-1.277577991036693e-14
2.450000000000080e-11,-1.085856741164081e-18,-2.425368499440708e-18,3.553264351490553e-19,-5.083570901825860e-20,0.000000000000000e+00,0.000000000000000e+00,-1.941941078366091e+01,-2.199999999999995e+01,1.091557255058962e-02,-2.026048881489492e-02,4.303541926325233e-01,-2.695722624306409e-17,-4.913871194539474e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404736e-14,0.000000000000000e+00,0.000000000000000e+00,-1.278208836691519e-14
2.500000000000089e-11,-1.087303662795775e-18,-2.426709372889108e-18,3.540993626745262e-19,-5.099865768849211e-20,0.000000000000000e+00,0.000000000000000e+00,-1.942861932737096e+01,-2.200000000000001e+01,1.110602559318917e-02,-1.998751498391452e-02,4.317336490180698e-01,-2.677100477867654e-17,-4.900179647806002e-17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.448066304404737e-14,0.000000000000000e+00,0.000000000000000e+00,-1.278814954048755e-14
